Termo,TermoGeral,Descricao
"Combustível gasoso","Combustível","São combustíveis que formam com o ar uma mistura mais homogênea, essa característica contribui para uma melhor distribuição nos cilindros, aumentando o rendimento do motor. Aumenta também a facilidade da partida a frio do motor, o gás natural é um exemplo de combustível gasoso. (Fonte: MUNDO Educação: combustíveis. Disponível em: < http://www.mundoeducacao.com/quimica/combustiveis.htm> Acesso em: 12 nov 2014). "
"Combustível líquido","Combustível","Podem ser minerais ou não minerais. Os minerais são obtidos pela refinação do petróleo, destilação do xisto betuminoso ou hidrogenação do carvão: os mais usados são a gasolina (C8H18), o óleo diesel (C8H17) e o óleo combustível. Os combustíveis líquidos não minerais são os álcoois (metílico e o etílico) e os óleos vegetais (C, H2, O2 e N2). (Fonte: MUNDO Educação: combustíveis. Disponível em: < http://www.mundoeducacao.com/quimica/combustiveis.htm> Acesso em: 12 nov 2014). "
"Combustível nuclear","Combustível","Material físsil ou fissionável utilizado num reator nuclear para produzir energia. O termo é também usado para definir uma mistura como a do Urânio natural - na qual somente pequena parte dos átomos presentes é constituída de materiais físseis -, se esta mistura for capaz de manter uma reação em cadeia. (Fonte: GLOSSÁRIO de termos radiológicos. Disponível em: <http://www.tecnologiaradiologica.com/glosario_radiacao3.htm> Acesso em: 22 jun 2015). "
"Combustível sólido","Combustível","Entre os combustíveis sólidos, temos os minerais como lenha, serragem, bagaço de cana, etc.  Para ser usado, o combustível sólido deve estar sob forma de pó muito fino, o grande problema desse combustível, é a inaceitável erosão provocada nos pistões, válvulas, cilindros, etc. Isso acontece porque os produtos da combustão contêm partes muito duras, que ao depositarem nestes órgãos, causam esses inconvenientes. (Fonte: MUNDO Educação: combustíveis. Disponível em: < http://www.mundoeducacao.com/quimica/combustiveis.htm> Acesso em: 12 nov 2014). "
"Compostagem","","Método de tratamento dos resíduos sólidos (lixo) através da fermentação da matéria orgânica contida nos mesmos, conseguindo-se a sua estabilização, sob a forma de um adubo denominado composto. Na compostagem sobram normalmente cerca de 50% de resíduos. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed. Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Comunidade indígena","","É um conjunto de famílias ou comunidades índias, quer vivendo em estado de completo isolamento em relação aos outros setores da comunhão nacional, quer em contatos intermitentes ou permanentes, sem contudo estarem neles integrados. (Fonte:BRASIL. Ministério Público Federal.O que é lixo orgânico e inorgânico. Disponível em: <http://gesto.prdf.mpf.mp.br/legislacao-e-outros-documentos/o_que_e_lixo_organico_e_inorganico.pdf> Acesso em: 14 ago 2013). "
"Conservação de energia","","Atividade técnico-econômica que objetiva proporcionar o melhor consumo de energia e água, com redução dos custos operacionais correlatos, minimização do contigenciamento no suprimento destes insumos, introdução de elementos e instrumentos necessários para o gerenciamento energético e hídrico da empresa ou empreendimento. (Fonte: DICIONÁRIO Petrobras distribuidora: um guia técnico do setor de distribuição de derivados de petróleo e afins. Disponível em:  http://www.br.com.br/wps/wcm/connect/699d88804e5f88db96e3d7c48e6e201d/publicacoes-dicionario-guia-tecnico.pdf?MOD=AJPERES. Acesso em: 25 fev 2013) "
"Cooperativismo","",""
"Costa","","Zona de largura indeterminada, que se estende para o interior a partir da linha de contorno, e sobre a qual se faz sentir, de algum modo, a ação do mar. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Crédito de instalação","",""
"Crédito rural","Crédito",""
"Crime ambiental","","Conduta ou atividade considerada lesiva ao meio ambiente. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: http://www.bndes.gov.br/SiteBNDES/export/sites/default/bndes_pt/Galerias/Arquivos/conhecimento/livro_glossario/glossario.pdf Acesso em: 10 set 2013). "
"Cultivo","",""
"Curso de água","","Canal natural ou artificial através do qual a água pode fluir. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Defensivo agrícola","","Substância química, geralmente artificial, destinada a combater as pragas da lavoura, tais como insetos, fungos, etc. Muitas são danosas aos animais e também ao homem. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:<http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Defesa agropecuária","","A Defesa Agropecuária é uma estrutura constituída de normas e ações que integram sistemas públicos e privados sob o princípio aglutinador da preservação e melhoria da condição zoofitossanitária em todo o território nacional, que visa assegurar, assim, a proteção da saúde dos animais, a sanidade dos vegetais, a idoneidade dos insumos e dos serviços utilizados na agropecuária, além da identidade, qualidade e segurança higiênico-sanitária dos alimentos, demais produtos e insumos agropecuários. (Fonte: VILELA, Evaldo Ferreira; CALLEGARO, Geraldo Magela; GAMA, Sofia Kiyomi Iba da. Mestrado profissional em Defesa Agropecuária: criação, implementação e resultados preliminares. Revista Brasileira de Pós-Graduação, Brasília, v. 10, n. 22, p. 1009 - 1034, dez. 2013). "
"Defesa animal","Defesa agropecuária",""
"Defesa vegetal","Defesa agropecuária",""
"Degradação ambiental","","Alteração adversa dos processos, funções ou componentes ambientais ou uma alteração adversa da qualidade ambiental. (Fonte: SANCHEZ, Luiz E. Avaliação de impacto ambiental: conceitos e métodos. Editora Oficina de textos, 2008). "
"Depredação ambiental","","Alteração das características originais de um ecossistema por meio da ação direta ou indireta de agentes externos. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: http://www.bndes.gov.br/SiteBNDES/export/sites/default/bndes_pt/Galerias/Arquivos/conhecimento/livro_glossario/glossario.pdf Acesso em: 10 set 2013). "
"Derivados de petróleo","","Produtos decorrentes da transformação do petróleo.  (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Desapropriação","","É ato emanado do poder público mediante decreto do executivo, a fim de que a propriedade de alguém seja transferida para o domínio público, mediante pagamento justo. Modalidade de intervenção do Poder Público sobre a propriedade privada (excepcionalmente, sobre um bem público, desde que autorizado pelo legislativo), em imóvel ou móvel, mediante a qual transfere para si essa propriedade, se presentes os pressupostos de necessidade ou utilidade pública ou interesse social, mediante justa e prévia indenização em dinheiro, salvo a indenização em títulos de dívida pública nos casos de reforma agrária, por motivo de necessidade, ou utilidade pública, ou interesse social. (Fonte: FULGÊNCIO, Paulo Cesar. Glossário: administração pública, ciências contábeis, direito, economia, meio ambiente. Rio de Janeiro, RJ: Mauad X, 2007) "
"Desapropriação de imóveis","Desapropriação",""
"Desapropriação por interesse social","Desapropriação",""
"Desapropriação por utilidade pública","Desapropriação",""
"Desastre ecológico","","Qualquer evento súbito e não planejado, que cause ou possa vir a causar danos ao meio ambiente. (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Desenvolvimento sustentável","","Desenvolvimento que satisfaz as necessidades do presente sem comprometer a capacidade das futuras gerações de satisfazer as suas próprias necessidades. (SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Desertificação","Desastre ecológico","Degradação da terra nas regiões áridas, semi-áridas e subúmidas secas, resultante de vários fatores, entre eles as variações climáticas e as atividades humanas. A degradação da terra compreende a degradação dos solos, dos recursos hídricos, da vegetação e a redução da qualidade de vida das populações afetadas. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Deslizamento","","Deslocamento do material de uma encosta ou talude; deslocamento de parte de um maciço, envolvendo um talude sobre uma superfície de ecorregamento. (Fonte: BRASIL. Departamento Nacional de Estradas de Rodagem.  Glossário de termos técnicos rodoviários.  Rio de Janeiro, 1997. 296 p. Disponível em: <http://www1.dnit.gov.br/arquivos_internet/ipr/ipr_new/manuais/DNER-700-GTTR.pdf> Acesso em: 25 fev 2013). "
"Desmatamento","","É a retirada das matas e florestas naturais para o aproveitamento da madeira ou para a utilização do solo na agricultura ou pecuária. O desmatamento nas nascentes dos rios ou riachos provoca o progressivo desaparecimento do manancial e nas margens dos rios, riachos, lagos e açudes provoca sérios problemas de assoreamento, facilita o transporte (carreamento) de materiais de todo tamanho e espécie para o interior dos corpos dágua, inclusive os agrotóxicos, geralmente usados nas lavouras. Qualquer desmatamento somente poderá ser realizado após a autorização competente do IBAMA. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Dessalinização","",""
"Detrito","","Acumulação de materiais provenientes da decomposição das rochas. Esta acumulação pode produzir-se localmente ou ser transportada em cursos de água ou gelo, e depositada noutros locais. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Direito de propriedade","",""
"Drenagem","","Escoamento de águas por meio de tubos ou valas subterrâneas, chamados de drenos. (Fonte: TAVARES, Filipe Miguel. Glossário da construção civil. Disponível em: <http://www.guiadaobra.net/forum/viewtopic.php?t=23> Acesso em: 22 fev 2013). "
"Drenagem urbana","Drenagem","A drenagem urbana é o conjunto de medidas que tenham como objetivo minimizar os riscos que a população está sujeita, diminuir os prejuízos causados por inundações e possibilitar o desenvolvimento urbano de forma harmônica, articulada e sustentável. (Fonte: GOVERNO FEDERAL. Agência Reguladora de Serviços de Saneamento Básico do Estado de Santa Catarina. Drenagem Urbana. Disponível em: http://www.agesan.sc.gov.br/index.php/servicos-regulados/drenagem-urbana Acesso em: 25 fev 2013). "
"Ecologia","","É um campo interdisciplinar que estuda as relações dos seres vivos entre si e com o meio ambiente. Um dos seus objetivos, é a análise dos ecossistemas: a forma como os fatores físicos (clima, solo, água) interagem com a parcela viva da natureza (flora, fauna e microorganismos), criando um sistema estável. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Ecossistema","","Sistema integrado e autofuncionante que consiste em interações dos elementos bióticos e abióticos, e cujas dimensões podem variar consideravelmente. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Educação ambiental","","Entendem-se por educação ambiental os processos por meio dos quais o indivíduo e a coletividade constroem valores sociais, conhecimentos, habilidades, atitudes e competências voltadas para a conservação do meio ambiente, bem de uso comum do povo, essencial à qualidade de vida e sua sustentabilidade. Para uma sustentabilidade eqüitativa, a educação ambiental é um processo de aprendizagem permanente, baseado no respeito a todas as formas de vida. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Efeito estufa","","Capacidade que a atmosfera da Terra apresenta de reter parte da radiação térmica emitida pela superfície do planeta. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Encosta","","Superfície lateral de elevação ou depressão do terreno. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Energia de biomassa","Energia","Energia elétrica produzida a partir da queima de biomassa (matéria orgânica, ou resíduos de espécimes vegetais ou animais). (Fonte: ENERGIA Sustentável do Brasil. Glossário. Disponível em: http://www.energiasustentaveldobrasil.com.br/glossario.asp?lg=2. Acesso em: 14 mar 2013). "
"Energia de combustível fóssil","Energia","Energia produzida através de combustível que se forma a partir de restos de organismos vivos, rico em carbono ou em hidrogênio, como, p. ex., o carvão, o petróleo e o gás natural. (Fonte: COMBUSTÍVEL fóssil. In: AURÉLIO On-line. Positivo Informática, 2010. Disponível em: <https://contas.tcu.gov.br/dicionario/home.asp>. Acesso em: 13 mar 2013). "
"Energia eólica","Energia","Energia gerada a partir da força dos ventos. A energia cinética do vento é transformada, pelas turbinas, em energia mecânica que, por sua vez, se transforma em energia elétrica. (Fonte: ASSOCIAÇÃO BRASILEIRA DE DISTRIBUIDORES DE ENERGIA ELÉTRICA (Abradee). Glossário do Setor Elétrico. Disponível em: http://www.abradee.org.br/setor-eletrico/glossario-do-setor-eletrico. Acesso em: 07 mar 2013). "
"Energia hidrelétrica","Energia","Energia elétrica produzida pelo aproveitamento do potencial hidráulico de um rio.  A água gira a turbina, transformando energia hidráulica em energia mecânica que, por sua vez, se transforma em energia elétrica. (Fonte: ASSOCIAÇÃO BRASILEIRA DE DISTRIBUIDORES DE ENERGIA ELÉTRICA (Abradee). Glossário do Setor Elétrico. Disponível em: http://www.abradee.org.br/setor-eletrico/glossario-do-setor-eletrico. Acesso em: 07 mar 2013). "
"Energia nuclear","Energia","Energia liberada pela divisão ou átomos de união. Esta energia pode ser liberada em uma explosão, como em uma bomba atômica. Esta energia também pode ser liberada de forma controlada, tal como para gerar energia. A energia nuclear é utilizada para abastecer alguns navios e submarinos. (Macmillan for children, 2007) 2.    Energia liberada a partir de núcleos de átomo, seja através da divisão ou fusão deles. A energia nuclear pode ser usada para produzir eletricidade. (Childrens dictionary, 2003). (Fonte: IBICT. Avaliação do Ciclo de Vida. Disponível em: http://acv.ibict.br/. Acesso em: 22 jul 2013). "
"Energia solar","Energia","Inesgotável fonte de energia na qual a energia do sol é capturada e convertida em tipos úteis de energia. A energia é usualmente capturada por largos painéis solares direcionados para a luz o sol. (Westphal, 2009) 2.    Energia que vem do sol e que é usada para aquecer ou produzir eletricidade. (Macmillan for children, 2007) 3.    Uma forma de energia renovável, com base na transformação de radiação de sol em eletricidade. (Murphy, 2008). (Fonte:  IBICT. Avaliação do Ciclo de Vida. Disponível em: http://acv.ibict.br/. Acesso em: 22 jul 2013). "
"Energia termelétrica","Energia","Aquela gerada a partir da queima de combustíveis fósseis (diesel, carvão mineral, gás natural, gasolina, etc.) realizada nas usinas termoelétricas. (Fonte: ENERGIA Termelétrica. Disponível em:< http://www.suapesquisa.com/energia/energia_termoeletrica.htm> Acesso em: 19 ago 2013). "
"Energia térmica","Energia","A que se manifesta sob a forma de calor; energia calorífica. (Fonte: ENERGIA térmica. In: AURÉLIO On-line. Positivo Informática, 2010. Disponível em: <https://contas.tcu.gov.br/dicionario/home.asp>. Acesso em: 13 mar 2013). "
"Epizootia","","Doença, contagiosa ou não, que ataca numerosos animais ao mesmo tempo e no mesmo lugar. (Fonte: FERREIRA, Aurélio Buarque de Holanda; ANJOS, Margarida dos; FERREIRA, Marina Baird (Coord.). Novo Dicionário Eletrônico Aurélio. 5. ed. Curitiba, PR: Positivo, 2010) "
"Equilíbrio ecológico","",""
"Equipamento urbano","Equipamento público","Consideram-se urbanos os equipamentos públicos de abastecimento de água, serviços de esgoto, energia elétrica, coleta de águas pluviais, rede telefônica e gás canalizado. (Fonte: BRASIL. Lei 6766/79, de 19 de dezembro de 1979. Disponível em: < http://www.planalto.gov.br/ccivil_03/leis/l6766.htm> Acesso em: 20 ago 2014). "
"Erosão","Desastre ecológico","É um processo que se traduz na desagregação, transporte e deposição do solo, sub-solo e rocha em decomposição pelas águas, ventos ou geleiras. Define-se também como um processo de desprendimento e transporte das partículas sólidas do solo pelos agentes erosivos. Depende sobretudo das propriedades do solo, clima, vegetação, topografia e outras condições. A cobertura vegetal influencia as taxas de escoamento superficial e erosão mais que qualquer outro fator físico individual. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível em: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Esgotamento sanitário","","Constituído pelas atividades, infraestruturas e instalações operacionais de coleta, transporte, tratamento e disposição final adequados dos esgotos sanitários, desde as ligações prediais até o seu lançamento final no meio ambiente. (Fonte: BRASIL. Lei nº 11.445, de 5 de janeiro de 2007. Disponível em: <http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11445.htm> Acesso em: 1 mar 2013). "
"Estação de tratamento de água","","É a parte do sistema de abastecimento de água onde ocorre o tratamento da água captada na natureza visando a potabilização para posterior distribuição à população. (Fonte: SANTA CATARINA. Companhia Catarinense de Águas e Saneamento. Estação de tratamento de água. Disponível em: <http://www.casan.com.br/menu-conteudo/index/url/estacao-de-tratamento-de-agua-eta#0> Acesso em: 26 fev 2013). "
"Estação de tratamento de esgoto","","É a unidade operacional do sistema de esgotamento sanitário que através de processos físicos, químicos ou biológicos removem as cargas poluentes do esgoto, devolvendo ao ambiente o produto final, efluente tratado, em conformidade com os padrões exigidos pela legislação ambiental. (Fonte: SANTA CATARINA. Companhia Catarinense de Águas e Saneamento. Estação de tratamento de água. Disponível em: <http://www.casan.com.br/menu-conteudo/index/url/estacao-de-tratamento-de-agua-eta#0> Acesso em: 26 fev 2013). "
"Estação elevatória","","É um sistema de bombeamento, cuja finalidade é afastar o esgoto das redes de captação domésticas até um coletor principal situado em nível mais elevado. (Fonte: ATIBAIA (São Paulo). Saneamento ambiental. Estação elevatória. Disponível em: < http://www.saaeatibaia.sp.gov.br/esg_elev.asp> Acesso em: 25 fev 2013). "
"Estoque público","",""
"Estudo de impacto ambiental","","são todos e quaisquer estudos relativos aos aspectos ambientais relacionados à localização, instalação, operação e ampliação de uma atividade ou empreendimento, apresentado como subsídio para a análise da licença requerida, tais como: relatório ambiental, plano e projeto de controle ambiental, relatório ambiental preliminar, diagnóstico ambiental, plano de manejo, plano de recuperação de área degradada e análise preliminar de risco. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente. Resolução nº 237, de 19 de dezembro de 1997. Disponível em: <http://www.ibama.gov.br/phocadownload/category/36-p?download=1071%3A237-97>. Acesso em: 09 set 2013). "
"Etanol","","Biocombustível líquido derivado de biomassa renovável, que tem como principal componente o álcool etílico, que pode ser utilizado, diretamente ou mediante alterações, em motores a combustão interna com ignição por centelha, em outras formas de geração de energia ou em indústria petroquímica, podendo ser obtido por rotas tecnológicas distintas, conforme especificado em regulamento. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Extensão rural","","sistema de ajuda e amparo aos produtores rurais e suas famílias, geralmente feito por órgãos públicos através da divulgação de novas técnicas de manejo ou conservação de recursos e formas de comercialização. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Extrativismo","",""
"Extrativismo animal","Extrativismo",""
"Extrativismo vegetal","Extrativismo",""
"Fauna","","Conjunto das espécies animais que vivem em um espaço geográfico ou em um determinado hábitat. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Febre aftosa","","enfermidade causada pelo aflovírus, pode ser transmitida pelo leite, carne e saliva do animal doente. A doença também é transmissível para animais pela água, pelo ar e por objetos e locais sujos. Caracteriza-se pelo aparecimento de aftas na boca e na gengiva e feridas nas patas e nas mamas. O animal doente, que também fica febril, tem dificuldade para pastar, perde peso e produz menos leite. As espécies mais atacadas são os bovinos, suínos, caprinos e ovinos. (Fonte:  ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Fertilizante","","Substância natural ou artificial que contém elementos químicos e propriedades físicas que aumentam o crescimento e a produtividade das plantas, melhorando a natural fertilidade do solo ou devolvendo os elementos retirados do solo pela erosão ou por culturas anteriores. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Financiamento agrícola","",""
"Floresta","","Ecossistema complexo, no qual as árvores são a forma vegetal predominante que protege o solo contra o impacto direto do sol, dos ventos e das precipitações. BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Fluoretação da água","","Adição de flúor à água sob a forma de fluoretos com o intuito de prevenir a cárie dentária, à razão de 0,5mg/l a 1,0mg/l de flúor. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário Básico de Recursos Naturais e Meio Ambiente. 2. ed. Rio de Janeiro : IBGE, 2004. Disponível em: < http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf > Acesso em: 12 nov 2014). "
"Fonte alternativa de energia","","São aquelas que se apresentam como alternativa ao uso das fontes tradicionais de energia (petróleo, gás natural, hídrica e carvão mineral principalmente). As fontes alternativas de energias são renováveis, pouco ou não poluentes, além de apresentar a vantagem de ter baixos índices de agressão ambiental. Exemplos de fontes alternativas de energia: Energia eólica, Energia solar (fotovoltaica), Energia geotérmica, Energia mare motriz (das mares) , Biomassa (matéria orgânica, principalmente de origem vegetal), Nuclear, Biogás (gases provenientes da decomposição de resíduos orgânicos. (Fonte: FONTES alternativas de energia. Disponível em: <http://www.suapesquisa.com/energia/fontes_alternativas.htm> Acesso em: 22 jun 2015). "
"Fonte renovável de energia","","Os tipos renováveis de energia incluem a energia solar, a energia eólica e a energia hidroelétrica, além dos diferentes tipos de biocombustível. A natureza básica da energia renovável é que ela pode ser recriada dentro de um período de tempo razoável, com a exceção do Sol que constantemente gera energia (desconsiderando o fato de que o Sol irá, eventualmente, desaparecer dentro de alguns milhões de anos). (Fonte: ESAB. Glossário de termos ambientais. Disponível em: http://www.esab.com.br/br/por/Sobre/glossario.cfm. Acesso em: 14 mar 2013). "
"Fornecimento de água","",""
"Fruticultura","Cultivo","ramo da horticultura que desempenha atividades agrícolas de cultivo de frutas. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Gado","",""
"Garimpagem","","Trabalho individual no qual são utilizados instrumentos rudimentares, aparelhos manuais ou máquinas simples e portáteis, na extração de gemas, minerais metálicos ou não- metálicos, valiosos, em depósitos de eluvião ou aluviões, nos alvéolos de cursos dágua ou nas margens reservadas, bem como nos depósitos secundários ou chapadas (grupiaras), vertentes e alto de morros, depósitos esses genericamente denominados garimpos. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Gás natural","Combustível fóssil","Todo hidrocarboneto que permaneça em estado gasoso nas condições atmosféricas normais, extraído diretamente a partir de reservatórios petrolíferos ou gaseíferos, incluindo gases úmidos, secos, residuais e gases raros. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Gestão ambiental","","Tentativa de avaliar valores limites das perturbações e alterações que, uma vez excedidas, resultam em recuperação bastante demorada do meio ambiente, e de mamnter os ecossistemas dentro de suas zonas de resiliência, de modo a maximizar a recuperação dos recursos do ecossistema natural para o homem, assegurando sua produtividade prolongada e de longo prazo. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Horticultura","Cultivo","parte da agricultura que se dedica ao cultivo de hortaliças, legumes, temperos e condimentos, Se divide nos ramos da olericultura (hortaliças folhosas e legumes), floricultura (flores), fruticultura (frutas), silvicultura (árvores florestais) e paisagismo (plantas ornamentais). (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
